sample_id,air_volume,cold_air_press,hot_air_press,oxygen,hot_air_temp,coal_rate,humidity,gas_rate,furnace_top_press,upper_press_diff,lower_press_diff,total_press_diff,air_press_ratio,furnace_top_temp_avg,air_speed,furnace_throat_temp,pig,all_quality,consumption,fuel_rate,coke_rate
R2S2_TRAIN_7FCFCFC85733,4129.022552,398.996360,390.346931,10807.219101,1185.701255,42.014741,18.428122,49.520636,215.945402,55.196698,112.963753,168.160451,24.542006,194.239741,283.795468,229.969823,34.224353,57.163891,1.660700,502.924703,311.880926
R2S2_TRAIN_84CA20A2B48F,4252.492033,389.668484,374.551051,14425.180044,1187.977879,41.750000,24.167305,45.972433,216.034204,50.193599,107.480685,157.674283,26.541329,164.761536,293.960807,173.528558,34.434435,57.715875,1.650739,518.848628,345.756572
R2S2_TRAIN_CF28C079623C,4099.557007,390.506142,382.686930,11854.939039,1184.474544,40.724275,13.516292,46.528044,219.971425,54.698953,108.286798,162.985752,25.849925,137.711480,285.677065,211.449921,33.121492,57.531686,1.652300,511.424977,336.065963
R2S2_TRAIN_5378F57BF3E6,4221.953579,400.362395,388.468190,11733.904368,1185.316318,40.404940,17.922748,48.326155,219.966159,46.822197,118.232017,165.054215,24.794502,150.096168,289.242087,151.448566,34.294553,57.458191,1.656047,511.902388,319.069892
R2S2_TRAIN_9A5E9258D827,4050.241300,378.233175,379.885973,9139.956179,1188.048850,40.160509,13.946670,48.073877,219.948341,51.342868,108.867816,160.210685,26.156976,149.237287,290.956348,150.896714,32.547524,57.567729,1.654351,500.604619,314.163119
R2S2_TRAIN_F026E3DB51C4,4058.983847,392.159729,380.388848,8639.268769,1198.392035,37.140948,25.213258,48.616056,219.915301,54.446276,108.779419,163.225695,25.313178,194.124497,285.915607,217.489916,33.349654,57.592363,1.649831,513.679013,321.478288
R2S2_TRAIN_498A3FCB3CF7,4092.850489,391.552154,378.703516,8628.423138,1185.742166,38.062500,20.802623,47.385607,219.940721,51.060983,106.665496,157.726479,25.382765,173.260108,278.689964,242.139559,31.215410,57.299910,1.664912,509.618361,329.888532
R2S2_TRAIN_F351A601861B,4193.087282,401.767941,385.631324,9442.505236,1182.740132,42.687500,3.625487,49.011721,219.981463,50.686332,120.319871,171.006202,25.071567,158.267115,289.737589,204.249653,34.361599,56.335341,1.666840,506.174292,318.569829
R2S2_TRAIN_FC7992FB775B,4061.344634,378.487694,361.154875,8510.829090,1186.210565,41.625000,18.111621,48.883577,219.967575,50.557211,104.974872,155.532082,26.114398,134.867037,288.049050,194.320071,33.051605,57.606979,1.654726,508.515201,321.110066
R2S2_TRAIN_2A78EBC3CF38,4144.803154,396.847455,380.534053,8458.978110,1200.620973,36.075331,9.968771,48.869578,219.958087,56.370726,102.988349,159.359076,25.487968,179.449297,287.282694,241.252928,34.376837,57.795437,1.654000,518.773306,335.548121
R2S2_TRAIN_418B6502E77E,3649.813432,374.016944,370.200856,3976.989608,1193.613436,36.625000,24.536254,49.389522,215.974481,54.635846,86.296919,140.932766,25.034649,221.670809,279.213016,221.441164,31.468246,57.534471,1.660900,496.887849,310.412723
R2S2_TRAIN_CAF6C408FC56,4191.080400,398.490037,380.126958,8435.566404,1189.420680,38.745153,10.101694,48.438181,219.993371,57.117999,108.536442,165.654440,25.365403,170.553265,284.818138,215.865814,33.863610,57.457500,1.657766,490.897294,312.352274
R2S2_TRAIN_174C5983B81B,4219.033381,399.326299,379.379356,9196.930880,1199.511479,40.812500,24.700270,47.506022,219.996577,53.347453,109.422784,162.770237,26.221612,141.499090,294.179182,195.197121,34.266329,57.604744,1.653899,496.862135,310.703360
R2S2_TRAIN_5F48F15C8AF9,4169.429175,395.512608,382.391878,11202.022391,1180.902150,40.833561,12.508848,48.490519,219.935587,54.722413,109.712489,164.434902,25.515004,183.981594,282.793423,222.129249,33.775187,57.323176,1.666400,502.964425,316.164775
R2S2_TRAIN_90842684F66E,3503.895135,387.558423,377.014156,9047.142854,1181.022782,41.812500,23.565635,48.524338,215.981245,45.674116,115.886649,161.560765,24.780553,217.952222,273.285881,208.407757,31.237255,57.179883,1.668413,515.698582,325.360688
R2S2_TRAIN_9517E558B294,4242.670305,401.165993,390.334131,13931.293309,1186.247579,43.059789,27.516966,48.366614,219.934435,49.636123,121.098350,170.734472,24.762512,167.387478,290.281649,218.869317,34.419350,57.206517,1.662914,510.851318,317.261049
R2S2_TRAIN_5BF240119D3C,4191.176764,385.533905,377.834200,5254.335928,1187.593019,40.312500,8.917732,48.577502,220.023784,51.139792,104.370706,155.510498,26.654010,135.145171,291.742352,231.499466,31.128576,57.512552,1.655600,508.351792,324.116664
R2S2_TRAIN_ABF76FE2563B,4245.665492,403.122827,384.137837,13361.645171,1178.916969,46.668306,25.443758,48.879461,219.965852,55.113557,117.463388,172.576945,25.044789,148.943916,290.580321,216.874293,32.693436,57.080167,1.693871,505.405455,317.586699
R2S2_TRAIN_E59B6B1F7A7D,4205.362254,390.609355,378.422895,12385.331642,1187.745772,43.625000,17.093864,48.424745,215.386453,48.919539,107.929105,156.848643,25.907342,152.712928,294.261356,228.626523,31.998376,56.845331,1.676800,508.194201,322.260744
R2S2_TRAIN_C937C6C4BF4D,4297.438480,403.399860,393.896674,14384.356760,1194.501168,47.204343,11.796291,48.439342,219.980774,49.862512,122.804625,172.667137,24.526362,158.430413,290.252443,172.357495,34.519754,57.314934,1.665600,505.312959,311.969316
R2S2_TRAIN_31391A4DFF4F,4233.109877,402.430402,393.127274,13866.568864,1184.367065,41.187500,4.468381,47.171906,219.944848,55.472003,123.183698,178.655702,23.900167,142.280787,288.734815,180.142639,34.520641,57.776955,1.652000,522.674409,327.526558
R2S2_TRAIN_CA552EBD1BC4,4084.085740,400.756516,388.684963,10930.904203,1184.997504,41.062500,4.180590,49.402367,219.951090,47.824201,119.574225,167.398426,24.212548,168.616346,283.598790,223.010885,33.393007,57.404993,1.662800,490.004020,303.491678
R2S2_TRAIN_E788E18D2FD9,4214.881080,393.000944,384.410783,8807.751601,1188.358353,39.937500,11.587246,48.460200,219.952825,56.109728,104.244631,160.354359,25.906230,187.101009,290.451819,228.789865,34.226190,57.215784,1.655900,492.036084,312.770565
R2S2_TRAIN_2102E7761BC7,4257.723725,397.570450,387.548737,8827.096208,1187.323382,41.777697,11.008468,48.018138,219.940199,49.613122,116.376315,165.989437,25.552266,186.261634,285.479326,212.187529,32.997962,57.229507,1.657976,525.580643,331.857940
R2S2_TRAIN_10390BCFDC5D,4270.389238,398.287015,386.412663,12984.140654,1187.292627,41.000000,19.257221,48.549479,220.004745,52.441731,110.523940,162.965671,25.769161,187.661433,290.844464,219.370128,35.082351,57.326913,1.658045,499.058300,319.192943
R2S2_TRAIN_03FE8F9A2C7B,4164.048979,397.650700,384.616314,13025.451809,1185.797819,46.125000,19.403953,47.924561,219.923203,51.074524,116.076844,167.151367,24.926367,169.462593,285.803851,214.149449,34.253414,56.336763,1.689103,520.406512,333.071867
R2S2_TRAIN_876E43E5ADFD,4126.250564,393.715376,376.820090,12536.757681,1182.447890,42.562500,26.814421,48.207876,219.954605,49.247879,110.308759,159.556638,25.958177,159.758904,286.471322,198.700632,34.377858,57.619186,1.655700,498.709787,311.740296
R2S2_TRAIN_F18174BC8F88,4252.247968,396.540782,386.103352,10223.192401,1194.045310,41.312500,9.250258,48.718646,219.975911,56.097893,106.754285,162.852178,25.829089,134.373588,297.284341,221.047219,31.346017,57.258248,1.666675,497.909334,313.082766
R2S2_TRAIN_FBF18C9D1791,4302.982064,397.842826,385.418332,14857.813334,1185.219497,45.255504,27.835962,46.796127,217.960001,44.319170,125.550017,169.869187,25.138068,203.844177,294.120978,228.546063,34.316922,56.659925,1.672342,543.709708,351.576634
R2S2_TRAIN_4D90EB4267B5,3712.142373,380.620624,383.405021,6237.864989,1185.974278,38.125000,19.989972,48.421632,219.899451,50.911116,108.378825,159.289940,24.940560,154.023527,281.489141,223.997989,30.646452,57.037626,1.662000,518.578520,335.708168
R2S2_TRAIN_C92DC38A415F,4205.584632,396.833314,377.602242,6273.053989,1187.482500,39.856502,25.809701,48.835083,219.974787,53.261069,106.927074,160.188143,25.399961,161.493917,288.952728,232.710605,33.081595,57.678815,1.651371,503.517710,314.280667
R2S2_TRAIN_F00FC7328F51,4200.326596,394.784746,384.361945,10413.534033,1201.405030,40.562500,11.399968,47.861626,219.991810,56.749543,110.056536,166.806079,25.987424,141.995908,288.637596,228.451589,34.575201,57.708246,1.647786,502.685430,314.492275
R2S2_TRAIN_EE29048DA225,4098.556562,386.032837,376.938401,10303.028650,1181.181204,40.937500,15.608485,48.115192,219.149455,54.268383,109.608407,163.876790,25.373595,154.029230,286.161362,223.778503,32.539705,57.542794,1.657900,500.169279,309.010722
R2S2_TRAIN_76B78FCD981E,4092.040710,399.109881,382.222972,9156.516614,1186.140205,41.416878,20.584108,47.787958,212.702566,51.522284,114.678813,166.201098,25.299350,153.437593,290.809759,183.451333,33.254882,57.214407,1.659393,510.843024,319.413117
R2S2_TRAIN_7E79C6C90F71,4094.072219,390.931601,378.232911,4145.042979,1188.110593,42.375000,20.980315,49.049618,215.974462,56.572325,107.019051,163.591377,25.731171,157.184979,285.846062,226.015374,33.182261,56.989610,1.663508,507.167421,312.796939
R2S2_TRAIN_77D4C8C15431,4188.623785,390.927323,380.509345,8128.231848,1200.844875,40.937500,11.362421,49.986100,219.992070,58.970105,93.866865,152.836970,26.451033,153.847987,292.601765,229.093276,34.237341,57.717236,1.650225,494.745446,312.188896
R2S2_TRAIN_ABBA1F3E9E79,4093.621222,396.071542,389.766715,11605.634408,1178.984054,42.312500,10.935772,47.706134,215.979110,48.657441,111.668132,160.325574,24.144207,159.000636,276.049870,220.660908,34.109577,57.070738,1.664697,509.000317,321.709036
R2S2_TRAIN_97358FEF0F0E,4233.447118,397.240636,386.917147,13827.441841,1181.475396,38.045456,11.058663,47.798341,220.022257,52.107129,110.695226,162.802354,26.143583,154.985822,291.885115,149.820401,34.454620,57.465280,1.657200,504.294843,325.142696
R2S2_TRAIN_B7B2C7B2DC6F,4191.659681,394.752732,385.738432,10007.027642,1185.223462,43.062500,5.973496,49.202656,219.948700,54.789740,112.566363,167.356103,25.767130,120.283385,288.517665,163.280356,34.463651,56.335996,1.692070,499.067605,308.116748
R2S2_TRAIN_98A3A0A5E0CF,4103.018806,395.872315,382.530028,8605.731573,1184.475395,42.625000,25.866399,48.861221,215.964443,51.417675,107.836145,159.253820,25.333190,190.324800,283.149257,202.537951,33.020026,57.453312,1.662000,512.621568,322.817906
R2S2_TRAIN_BD532187B4E5,4148.777069,392.642776,379.295673,12216.909370,1186.126637,44.139142,17.241416,48.439889,219.978253,50.135570,118.920340,169.055910,24.291087,151.836695,289.670576,186.413839,34.490842,56.924951,1.669886,516.471804,322.545210
R2S2_TRAIN_8FDD6A564FEC,4098.100825,392.017923,382.004937,8162.727189,1199.253469,42.086956,19.341155,49.515755,220.000451,52.714987,108.567422,161.282410,26.128600,187.340384,290.910983,229.818836,32.935451,57.503050,1.653096,502.758989,317.030614
R2S2_TRAIN_0C4EB8BBF950,4270.188275,397.166274,384.887589,13355.515552,1199.926195,45.123722,23.089079,46.932472,219.938264,54.883564,106.044879,160.928443,26.073024,133.723520,292.921270,223.501381,34.306211,57.100121,1.663054,505.957456,330.315359
R2S2_TRAIN_07CA517ABC96,4172.140400,388.681562,378.172189,10201.831269,1169.789168,40.937500,20.203506,46.727102,187.122851,47.974498,108.589703,156.564200,26.714783,159.759988,290.727636,155.677123,34.977512,57.146990,1.667490,509.332631,330.019913
R2S2_TRAIN_7A55534F422B,4010.039462,399.018330,381.679315,8128.147526,1185.067670,40.238702,10.885983,48.191689,219.357742,50.086180,120.293325,170.379505,25.029297,202.370015,275.724121,222.651487,34.142675,57.792166,1.647137,508.287139,318.779925
R2S2_TRAIN_C31BC9DBA236,4194.480509,389.411068,382.915755,10029.898574,1183.526105,41.500000,15.821062,47.780877,216.028638,49.820335,112.043643,161.863978,25.788572,138.614062,289.304088,178.530474,34.438004,57.531179,1.654944,515.005615,327.303592
R2S2_TRAIN_FAD3BEB7A0B7,4231.739641,403.631856,390.741045,10485.970227,1183.519627,45.000000,4.658295,49.459491,219.936814,57.835598,107.383764,165.219362,25.599139,144.279355,290.769705,220.912155,34.289903,57.489634,1.659812,495.073869,309.623709
R2S2_TRAIN_9909AA28D0E7,4069.019871,385.098343,373.188505,8123.162023,1199.497189,40.687500,17.607328,49.986100,216.038530,54.789601,114.125942,168.915542,25.162133,183.632681,281.789041,248.898269,34.336995,57.766609,1.646901,493.681177,307.461505
R2S2_TRAIN_08B22232AF28,4251.421720,400.798672,389.322906,12385.306693,1171.536049,44.882628,17.689880,48.537559,219.917127,47.149073,122.407596,169.556669,25.260367,154.969417,289.854391,190.684570,31.530931,57.270755,1.662500,508.336492,319.168008
R2S2_TRAIN_8CCD62096F1C,4054.756413,397.063119,389.811747,10695.937724,1184.598142,41.062500,27.192611,48.954772,219.921518,54.734276,120.218611,174.952887,23.824656,230.628314,285.222690,240.856840,31.140302,57.171790,1.662000,510.137928,336.422421
R2S2_TRAIN_DBE62D6BB059,4271.585369,397.222912,392.019170,13930.856963,1187.752021,43.613065,13.007446,48.349536,220.009359,55.229450,118.140652,173.370102,24.975016,146.346711,290.636326,215.702019,34.348255,57.659849,1.648297,511.489827,321.080831
R2S2_TRAIN_4FE1DCEC12B3,4160.464744,390.016518,381.498188,4091.327243,1200.428636,36.423438,9.986327,48.640796,219.942054,53.092549,108.611736,161.704285,25.581471,172.257202,290.079392,215.539361,31.173216,57.487624,1.664377,495.262519,320.375074
R2S2_TRAIN_06CDF943793A,4128.712350,381.477899,373.080685,9162.942024,1180.523351,38.062500,24.924513,48.760353,214.451354,47.357433,113.527938,160.885371,25.879864,211.594555,283.413675,245.408880,31.240120,57.371834,1.665014,512.729409,321.506878
R2S2_TRAIN_A7DF3A7B2917,4093.068468,399.426387,384.819473,10167.330010,1185.958006,40.000000,26.468487,48.269686,219.923183,50.121942,119.949760,170.071702,24.697229,197.459957,281.104726,195.089656,32.592000,57.614219,1.652275,510.919757,325.251425
R2S2_TRAIN_FA0002238451,4062.469351,390.489104,383.877277,10025.835885,1185.799751,39.903881,14.481163,48.697412,216.047033,48.294531,109.229204,157.523734,25.549241,218.339661,285.320168,175.406890,34.190020,57.941585,1.645537,519.026377,321.897741
R2S2_TRAIN_900678B32492,4195.554707,392.597937,383.237621,12442.542553,1199.341201,45.500000,7.252720,48.282917,219.968153,54.053728,110.215711,164.269440,25.506409,132.387595,290.019784,190.883379,34.069413,57.452256,1.666400,509.420950,316.392993
R2S2_TRAIN_2D5358BDAB3D,4098.885874,394.971257,383.083832,11137.004579,1183.985581,41.375000,9.475572,47.776929,219.968156,55.249262,110.538521,165.787783,25.183557,141.804666,285.098070,174.202359,32.528165,57.754355,1.642507,509.189822,321.502530
R2S2_TRAIN_81C7327284A9,3997.302495,393.245721,371.790151,6992.861548,1194.513186,38.290331,12.968962,48.898810,219.996143,52.571639,101.070095,153.641734,25.470333,178.159474,284.969415,235.594169,33.352473,57.131147,1.663537,506.394946,325.181242
R2S2_TRAIN_9513EA3C0E6C,4261.354831,398.989912,391.818526,13748.083628,1184.111138,46.136808,21.933644,48.389862,220.023220,45.132101,117.952886,163.084986,25.323928,180.566219,292.809541,155.065491,34.214144,56.989355,1.669520,506.567054,325.289632
R2S2_TRAIN_702FB5CF38B5,4230.922436,397.193688,383.084294,8167.615720,1200.759617,40.847666,5.104904,48.998847,219.946318,56.525241,105.040676,161.565917,26.085604,133.767349,296.359766,176.503677,34.327972,57.580629,1.662000,495.150746,313.885574
R2S2_TRAIN_CD2EB3D138FF,4213.996822,397.531738,385.950139,8688.205093,1184.145929,42.062500,23.443818,49.006968,219.985024,55.062786,115.425298,170.488084,26.028928,161.679008,288.706222,194.859928,32.907841,57.026799,1.662700,501.804500,313.114350
R2S2_TRAIN_53D2332DA80A,4226.374006,391.114892,382.460936,10485.086472,1187.026842,42.920161,8.106410,49.140324,216.905264,52.534554,104.473076,157.007630,26.279750,199.937280,294.628776,227.127735,31.185725,56.336708,1.668921,490.004020,309.767958
R2S2_TRAIN_59396A94F18B,3781.966455,381.054068,371.798552,5267.194696,1187.746021,30.144015,25.429796,49.358723,214.193209,49.812880,103.354690,153.167569,25.391746,218.864156,280.000498,255.722983,31.120815,57.093697,1.664657,519.911895,325.920722
R2S2_TRAIN_A83B8CFC8999,3880.648763,392.194401,381.302231,10648.960780,1184.480854,41.500000,9.189000,49.556388,216.035226,53.780979,109.085166,162.866145,24.083521,173.721716,278.371725,186.313811,34.252215,57.318757,1.656500,507.943958,315.379076
R2S2_TRAIN_A10EA4203CF3,4234.604095,401.661462,388.689505,13531.892614,1185.834297,42.375000,22.955263,48.296573,220.005134,47.815785,119.518469,167.334253,25.811196,153.727258,293.954092,211.047200,33.140123,57.210430,1.668770,519.460413,337.506808
R2S2_TRAIN_6CF702266AFD,4307.006084,404.492309,391.614162,13450.906201,1200.080934,46.330699,11.234882,47.479704,219.996130,49.765234,123.472586,173.237820,23.686754,155.327672,291.251776,197.186702,34.397629,57.501765,1.662838,504.465586,317.246204
R2S2_TRAIN_6FA8CD970209,4237.843045,397.523076,381.804401,10326.353243,1200.642830,41.920905,15.502518,49.471487,219.972843,59.382908,106.561761,165.944669,25.076699,144.399437,290.907903,237.251749,34.559732,57.346307,1.659522,499.402847,316.561052
R2S2_TRAIN_E0732D4EFC92,4106.215304,388.918273,376.685871,9487.043535,1186.207081,39.090327,10.531945,46.553193,219.961109,56.764834,105.831113,162.595947,25.527701,160.480610,285.287823,201.972277,31.435614,56.673358,1.674257,513.605015,337.461065
R2S2_TRAIN_B0D1FE88A397,4245.651019,402.365431,389.217019,13187.734299,1182.766267,41.187500,4.884181,47.991760,216.892786,52.072959,121.824232,173.897192,23.918644,148.018017,287.943019,186.478221,33.956615,56.430573,1.676206,504.561389,314.900425
R2S2_TRAIN_19FA04768058,4068.771387,386.365275,368.658698,8841.328092,1186.110675,37.929286,8.124038,48.106938,217.630402,53.175471,108.609593,161.785064,25.257838,155.872320,284.793917,189.335430,32.092751,57.147541,1.662002,511.317603,338.577833
R2S2_TRAIN_999187190B53,4022.925460,400.498219,389.275310,9964.157333,1200.292213,39.519723,20.450144,48.523849,219.977293,52.071798,115.232711,167.304509,24.532655,171.744740,281.309224,229.953653,34.523376,57.295160,1.657900,510.438773,317.228575
R2S2_TRAIN_985698BF139B,4138.239194,400.806400,389.197758,8940.230611,1184.230292,41.312500,13.331875,48.944509,219.959742,51.409813,116.464917,167.874729,24.223296,146.199885,288.212542,220.907219,32.657342,57.362109,1.657000,497.177850,310.388710
R2S2_TRAIN_5DDE5338D5C9,4241.788269,395.193394,383.667542,12678.253626,1187.889134,42.062500,24.115843,48.378459,215.976084,53.224080,109.196495,162.420575,25.859201,133.870792,296.340955,222.035009,33.392180,57.448423,1.660867,501.040128,321.610744
R2S2_TRAIN_026E3F655C11,4090.413698,393.448811,379.772330,5267.088744,1200.628656,37.154405,26.107221,48.706172,219.943667,53.597075,112.561255,166.158330,24.475813,176.490964,286.382528,244.648907,32.084956,57.583425,1.646503,507.328381,330.058648
R2S2_TRAIN_250D4E42CC77,4295.680694,400.874906,387.000538,13079.602689,1199.724394,42.062500,6.233398,47.203308,220.033778,57.029478,113.996920,171.026398,24.801671,173.269701,294.740341,148.591511,34.416081,57.207509,1.664400,505.317546,318.093287
R2S2_TRAIN_2A188B405AE3,4103.506805,394.638493,384.742756,12813.298796,1183.548018,41.937500,23.110384,48.681419,215.934100,51.591238,107.059813,158.651052,25.453971,159.589439,286.975761,234.709514,34.047333,57.107683,1.666197,507.141926,326.503332
R2S2_TRAIN_EB6086B4FFC9,4241.443503,385.994870,375.852250,12998.630526,1188.118284,42.185660,16.887250,47.859913,219.944103,47.358325,105.996221,153.354546,27.187911,133.899599,294.060830,187.427538,34.452809,57.221459,1.656796,512.439640,316.442295
R2S2_TRAIN_2F5133749CD7,4046.625730,388.322221,377.526171,7167.401129,1184.069990,40.467927,10.406650,48.313670,216.014513,51.062774,107.809225,158.871998,25.506577,155.650871,287.763691,220.793250,32.718370,57.202632,1.656500,506.568267,320.214109
R2S2_TRAIN_C9BB0794AD13,4184.736144,401.672881,391.257544,13852.306326,1181.041067,46.643649,24.746565,47.939069,217.962423,49.159003,120.626428,169.785431,25.018641,164.583463,289.798913,142.359869,34.395274,56.942969,1.668213,511.284766,321.918862
R2S2_TRAIN_B639406DE9F1,4019.269878,386.615392,378.144352,9720.374397,1199.266705,40.687500,24.162257,48.589466,219.877093,50.054451,108.239683,158.294135,25.621810,158.072049,284.606776,212.311453,34.330704,57.325433,1.657783,511.022600,328.789994
R2S2_TRAIN_8626015789DD,4123.309762,392.148272,378.898354,13128.541213,1196.121689,39.349387,26.127439,47.088401,219.918776,45.185099,118.080152,163.265251,25.178418,232.412363,290.179784,239.622679,32.750285,57.146206,1.664684,540.900214,338.517356
R2S2_TRAIN_0F075C19C9C4,4205.652064,390.062287,382.305897,10200.542286,1183.856852,41.763678,8.700901,48.668234,216.015037,49.943654,106.641355,156.585009,26.118397,121.599004,289.969006,169.539231,32.028586,57.480319,1.651787,505.669173,315.153911
R2S2_TRAIN_89BC67C205C3,4148.341030,389.920898,379.017699,10594.564437,1187.833050,39.337396,17.579930,48.175176,219.936348,49.257910,114.111223,163.369133,25.285815,146.173569,291.012888,202.150513,33.064706,57.134148,1.660549,503.153314,324.280711
R2S2_TRAIN_705C4CCE2CE4,4200.293923,400.324483,388.490060,11133.505210,1183.289470,39.875000,7.908709,48.747377,219.927139,56.537433,116.082299,172.619732,25.129176,146.748256,289.143028,209.699673,34.508472,57.296658,1.658835,504.336533,310.629481
